Movie Title,Worldwide Box Office,Rotten Tomatoes Rating,Release Date,Production Budget
Dog Man,$137824315,80%,Jan 31 2025,$40000000
The Wild Robot,$334094272,96%,Sep 27 2024,$78000000
Kung Fu Panda 4,$547863457,71%,Mar 8 2024,$85000000
Trolls Band Together,$210651834,64%,Nov 17 2023,$95000000
Ruby Gillman Teenage Kraken,$46247409,66%,Jun 30 2023,$70000000
Puss in Boots: The Last Wish,$484329137,95%,Dec 21 2022,$110000000
The Bad Guys,$250901649,88%,Apr 22 2022,$70000000
The Boss Baby: Family Business,$146281732,46%,Jul 2 2021,$82000000
Spirit Untamed,$42235744,48%,Jun 4 2021,$30000000
The Croods: A New Age,$214766238,76%,Nov 25 2020,$65000000
Trolls: World Tour,$48866407,72%,Apr 10 2020,$90000000
Abominable,$188668889,83%,Sep 27 2019,$75000000
How to Train Your Dragon: The Hidden World,$520979901,90%,Feb 22 2019,$129000000
Captain Underpants: The First Epic Movie,$126422949,87%,Jun 2 2017,$38000000
The Boss Baby,$527909949,53%,Mar 31 2017,$125000000
Trolls,$342831709,76%,Nov 4 2016,$125000000
Kung Fu Panda 3,$520189225,87%,Jan 29 2016,$140000000
Home,$385997896,53%,Mar 27 2015,$130000000
Penguins of Madagascar,$366942531,74%,Nov 26 2014,$132000000
How to Train Your Dragon 2,$614586270,92%,Jun 13 2014,$145000000
Mr. Peabody & Sherman,$269806430,81%,Mar 7 2014,$145000000
Turbo,$286896578,67%,Jul 17 2013,$135000000
The Croods,$573068425,71%,Mar 22 2013,$135000000
Rise of the Guardians,$306941670,75%,Nov 21 2012,$145000000
Madagascar 3: Europe's Most Wanted,$746921271,78%,Jun 8 2012,$145000000
Puss in Boots,$554987477,86%,Oct 28 2011,$130000000
Kung Fu Panda 2,$664837547,82%,May 26 2011,$150000000
Megamind,$321887208,73%,Nov 5 2010,$130000000
Shrek Forever After,$756244673,58%,May 21 2010,$165000000
How to Train Your Dragon,$495141736,99%,Mar 26 2010,$165000000
Monsters vs. Aliens,$381687380,73%,Mar 27 2009,$175000000
Madagascar: Escape 2 Africa,$599680774,64%,Nov 7 2008,$150000000
Kung Fu Panda,$632203486,87%,Jun 6 2008,$130000000
Bee Movie,$287594577,49%,Nov 2 2007,$150000000
Shrek the Third,$807330936,41%,May 17 2007,$160000000
Flushed Away,$179357126,72%,Nov 3 2006,$149000000
Over the Hedge,$343397247,75%,May 19 2006,$80000000
Wallace & Gromit: The Curse of the Were-Rabbit,$197593152,95%,Oct 5 2005,$30000000
Madagascar,$556559566,55%,May 27 2005,$75000000
Shark Tale,$371741123,35%,Oct 1 2004,$75000000
Shrek 2,$933848612,89%,May 19 2004,$70000000
Sinbad: Legend of the Seven Seas,$80767884,45%,Jul 2 2003,$60000000
Spirit: Stallion of the Cimarron,$106515310,69%,May 24 2002,$80000000
Shrek,$492534844,88%,May 18 2001,$50000000
Chicken Run,$227793915,97%,Jun 21 2000,$42000000
The Road to El Dorado,$65700000,50%,Mar 31 2000,$95000000
The Prince of Egypt,$218613188,80%,Dec 18 1998,$60000000
Antz,$152457863,92%,Oct 2 1998,$60000000
Orion and the Dark,N/A,92%,N/A,N/A
