Movie Title,Worldwide Box Office,Rotten Tomatoes Rating,Release Date,Production Budget,Studio
Dog Man,$137824315,80%,Jan 31 2025,$40000000,DreamWorks
The Wild Robot,$334094272,96%,Sep 27 2024,$78000000,DreamWorks
Kung Fu Panda 4,$547863457,71%,Mar 8 2024,$85000000,DreamWorks
Trolls Band Together,$210651834,64%,Nov 17 2023,$95000000,DreamWorks
Ruby Gillman Teenage Kraken,$46247409,66%,Jun 30 2023,$70000000,DreamWorks
Puss in Boots: The Last Wish,$484329137,95%,Dec 21 2022,$110000000,DreamWorks
The Bad Guys,$250901649,88%,Apr 22 2022,$70000000,DreamWorks
The Boss Baby: Family Business,$146281732,46%,Jul 2 2021,$82000000,DreamWorks
Spirit Untamed,$42235744,48%,Jun 4 2021,$30000000,DreamWorks
The Croods: A New Age,$214766238,76%,Nov 25 2020,$65000000,DreamWorks
Trolls: World Tour,$48866407,72%,Apr 10 2020,$90000000,DreamWorks
Abominable,$188668889,83%,Sep 27 2019,$75000000,DreamWorks
How to Train Your Dragon: The Hidden World,$520979901,90%,Feb 22 2019,$129000000,DreamWorks
Captain Underpants: The First Epic Movie,$126422949,87%,Jun 2 2017,$38000000,DreamWorks
The Boss Baby,$527909949,53%,Mar 31 2017,$125000000,DreamWorks
Trolls,$342831709,76%,Nov 4 2016,$125000000,DreamWorks
Kung Fu Panda 3,$520189225,87%,Jan 29 2016,$140000000,DreamWorks
Home,$385997896,53%,Mar 27 2015,$130000000,DreamWorks
Penguins of Madagascar,$366942531,74%,Nov 26 2014,$132000000,DreamWorks
How to Train Your Dragon 2,$614586270,92%,Jun 13 2014,$145000000,DreamWorks
Mr. Peabody & Sherman,$269806430,81%,Mar 7 2014,$145000000,DreamWorks
Turbo,$286896578,67%,Jul 17 2013,$135000000,DreamWorks
The Croods,$573068425,71%,Mar 22 2013,$135000000,DreamWorks
Rise of the Guardians,$306941670,75%,Nov 21 2012,$145000000,DreamWorks
Madagascar 3: Europe's Most Wanted,$746921271,78%,Jun 8 2012,$145000000,DreamWorks
Puss in Boots,$554987477,86%,Oct 28 2011,$130000000,DreamWorks
Kung Fu Panda 2,$664837547,82%,May 26 2011,$150000000,DreamWorks
